name,handedness,height,weight,avg,HR,BMI,BMI-C,avg-C,size
Bob Jones,Left,74,195,0.221,20,26,24-26,avg<0.23,2
Bob Kearney,Right,72,190,0.233,27,26,24-26,avg<0.26,2
Bob Knepper,Left,75,195,0.137,6,25,24-26,avg<0.23,2
Bob Meacham,Both,73,175,0.236,8,24,24-26,avg<0.26,2
Bob Molinaro,Left,72,190,0.264,14,26,24-26,avg<0.33,2
Bob Montgomery,Right,73,195,0.258,23,26,24-26,avg<0.26,2
Bob Oliver,Right,75,205,0.256,94,26,24-26,avg<0.26,2
Bob Randall,Right,74,175,0.257,1,23,20-23,avg<0.26,2
Bob Robertson,Right,73,195,0.242,115,26,24-26,avg<0.26,2
Bob Stinson,Both,71,180,0.25,33,26,24-26,avg<0.26,2
Bob Tillman,Right,76,205,0.232,79,26,24-26,avg<0.26,2
Bob Uecker,Right,73,190,0.2,14,26,24-26,avg<0.23,2
Bob Veale,Both,78,212,0.114,0,25,24-26,avg<0.23,2
Bob Watson,Right,72,201,0.295,184,28,27-31,avg<0.33,2
Bobby Bonds,Right,73,190,0.268,332,26,24-26,avg<0.33,2
Bobby Brown,Both,74,190,0.245,26,25,24-26,avg<0.26,2
Bobby Clark,Right,72,190,0.239,19,26,24-26,avg<0.26,2
Bobby Cox,Right,71,180,0.225,9,26,24-26,avg<0.23,2
Bobby Darwin,Right,74,190,0.251,83,25,24-26,avg<0.26,2
Bobby Grich,Right,74,180,0.266,224,24,24-26,avg<0.33,2
Bobby Klaus,Right,70,170,0.208,6,25,24-26,avg<0.23,2
Bobby Knoop,Right,73,170,0.236,56,23,20-23,avg<0.26,2
Bobby Mitchell L,Left,70,170,0.243,3,25,24-26,avg<0.26,2
Bobby Mitchell,Right,75,185,0.235,21,24,24-26,avg<0.26,2
Bobby Murcer,Left,71,160,0.277,252,23,20-23,avg<0.33,2
Bobby Tolan,Left,71,170,0.265,86,24,24-26,avg<0.33,2
Bobby Valentine,Right,70,189,0.26,12,28,27-31,avg<0.33,2
Bobby Wine,Right,73,187,0.215,30,25,24-26,avg<0.23,2
Bombo Rivera,Right,70,187,0.265,10,27,27-31,avg<0.33,2
Boog Powell,Left,76,230,0.266,339,29,27-31,avg<0.33,2
Boots Day,Left,69,160,0.256,8,24,24-26,avg<0.26,2
Brad Wellman,Right,72,170,0.231,6,24,24-26,avg<0.26,2
Brant Alyea,Right,75,215,0.247,38,28,27-31,avg<0.26,2
Brian Asselstine,Left,73,175,0.254,12,24,24-26,avg<0.26,2
Brian Giles,Right,73,165,0.228,10,22,20-23,avg<0.23,2
Brock Davis,Left,70,160,0.26,1,24,24-26,avg<0.33,2
Broderick Perkins,Left,70,180,0.271,8,26,24-26,avg<0.33,2
Bruce Benedict,Right,73,175,0.242,18,24,24-26,avg<0.26,2
Bruce Bochte,Left,75,195,0.282,100,25,24-26,avg<0.33,2
Bruce Bochy,Right,75,205,0.239,26,26,24-26,avg<0.26,2
Bruce Boisclair,Left,74,185,0.263,10,24,24-26,avg<0.33,2
Bruce Miller,Right,73,185,0.246,1,25,24-26,avg<0.26,2
Bryan Little,Both,70,160,0.245,3,24,24-26,avg<0.26,2
Bubba Morton,Right,70,175,0.267,14,26,24-26,avg<0.33,2
Buck Martinez,Right,70,190,0.225,58,28,27-31,avg<0.23,2
Buck Rodgers,Both,74,190,0.232,31,25,24-26,avg<0.26,2
Bucky Dent,Right,69,170,0.247,40,26,24-26,avg<0.26,2
Bud Harrelson,Both,71,160,0.236,7,23,20-23,avg<0.26,2
Buddy Bell,Right,73,180,0.279,201,24,24-26,avg<0.33,2
Buddy Biancalana,Both,71,160,0.205,6,23,20-23,avg<0.23,2
Buddy Bradford,Right,71,170,0.226,52,24,24-26,avg<0.23,2
Bump Wills,Both,69,172,0.266,36,26,24-26,avg<0.33,2
Burt Hooton,Right,73,210,0.123,4,28,27-31,avg<0.23,2
Butch Hobson,Right,73,193,0.248,98,26,24-26,avg<0.26,2
Butch Wynegar,Both,73,190,0.255,65,26,24-26,avg<0.26,2
Byron Browne,Right,74,190,0.236,30,25,24-26,avg<0.26,2
Cap Peterson,Right,74,195,0.23,19,26,24-26,avg<0.26,2
Carl Morton,Right,72,200,0.156,7,28,27-31,avg<0.23,2
Carl Taylor,Right,74,200,0.266,10,26,24-26,avg<0.33,2
Carl Warwick,Right,70,170,0.248,31,25,24-26,avg<0.26,2
Carl Yastrzemski,Left,71,175,0.285,452,25,24-26,avg<0.33,2
Carlos May,Left,71,200,0.274,90,29,27-31,avg<0.33,2
Carmen Fanzone,Right,72,200,0.224,20,28,27-31,avg<0.23,2
Catfish Hunter,Right,72,190,0.226,6,26,24-26,avg<0.23,2
Cecil Cooper,Left,74,165,0.298,241,22,20-23,avg<0.33,2
Cesar Cedeno,Right,74,175,0.285,199,23,20-23,avg<0.33,2
Cesar Geronimo,Left,72,165,0.258,51,23,20-23,avg<0.26,2
Cesar Gutierrez,Right,69,155,0.235,0,23,20-23,avg<0.26,2
Cesar Tovar,Right,69,155,0.278,46,23,20-23,avg<0.33,2
Champ Summers,Left,74,205,0.255,54,27,27-31,avg<0.26,2
Charley Smith,Right,73,170,0.239,69,23,20-23,avg<0.26,2
Charlie James,Right,73,195,0.255,29,26,24-26,avg<0.26,2
Charlie Moore,Right,71,180,0.261,36,26,24-26,avg<0.33,2
Charlie Spikes,Right,75,215,0.246,65,28,27-31,avg<0.26,2
Chet Lemon,Right,72,190,0.273,215,26,24-26,avg<0.33,2
Chico Ruiz,Both,72,169,0.24,2,23,20-23,avg<0.26,2
Chico Salmon,Right,70,160,0.249,31,24,24-26,avg<0.26,2
Chris Bando,Both,72,195,0.227,27,27,27-31,avg<0.23,2
Chris Brown,Right,72,185,0.269,38,26,24-26,avg<0.33,2
Chris Cannizzaro,Right,72,190,0.235,18,26,24-26,avg<0.26,2
Chris Chambliss,Left,73,195,0.279,185,26,24-26,avg<0.33,2
Chris Speier,Right,73,175,0.246,112,24,24-26,avg<0.26,2
Chuck Harrison,Right,70,185,0.238,17,27,27-31,avg<0.26,2
Chuck Hiller,Left,71,170,0.243,20,24,24-26,avg<0.26,2
Chuck Hinton,Right,73,180,0.264,113,24,24-26,avg<0.33,2
Chuck Schilling,Right,70,160,0.239,23,24,24-26,avg<0.26,2
Cito Gaston,Right,75,190,0.256,91,24,24-26,avg<0.26,2
Claudell Washington,Left,72,190,0.278,164,26,24-26,avg<0.33,2
Clay Dalrymple,Left,72,190,0.233,55,26,24-26,avg<0.26,2
Cleon Jones,Right,72,185,0.281,93,26,24-26,avg<0.33,2
Cliff Johnson,Right,76,215,0.258,196,27,27-31,avg<0.26,2
Clint Hurdle,Left,75,195,0.259,32,25,24-26,avg<0.26,2
Coco Laboy,Right,70,165,0.233,28,24,24-26,avg<0.26,2
Cookie Rojas,Right,70,160,0.263,54,24,24-26,avg<0.33,2
Craig Kusick,Right,75,210,0.235,46,27,27-31,avg<0.26,2
Craig Reynolds,Left,73,175,0.256,42,24,24-26,avg<0.26,2
Craig Robinson,Right,70,165,0.219,0,24,24-26,avg<0.23,2
Curt Blefary,Left,74,195,0.237,112,26,24-26,avg<0.26,2
Curt Ford,Left,70,150,0.245,7,22,20-23,avg<0.26,2
Curt Motton,Right,68,164,0.213,25,26,24-26,avg<0.23,2
Dal Maxvill,Right,71,157,0.217,6,22,20-23,avg<0.23,2
Dale Berra,Right,72,180,0.236,49,25,24-26,avg<0.26,2
Dalton Jones,Left,73,180,0.235,41,24,24-26,avg<0.26,2
Damaso Garcia,Right,73,165,0.283,36,22,20-23,avg<0.33,2
Dan Briggs,Left,72,180,0.195,12,25,24-26,avg<0.23,2
Dan Driessen,Left,71,187,0.267,153,27,27-31,avg<0.33,2
Dan Ford,Right,73,185,0.27,121,25,24-26,avg<0.33,2
Dan Meyer,Left,71,180,0.253,86,26,24-26,avg<0.26,2
Dane Iorg,Left,72,180,0.276,14,25,24-26,avg<0.33,2
Danny Ainge,Right,76,175,0.22,2,22,20-23,avg<0.23,2
Danny Cater,Right,72,170,0.276,66,24,24-26,avg<0.33,2
Danny Goodwin,Left,73,195,0.236,13,26,24-26,avg<0.26,2
Danny Thompson,Right,72,183,0.248,15,25,24-26,avg<0.26,2
Danny Walton,Right,72,195,0.223,28,27,27-31,avg<0.23,2
Darrel Chaney,Both,74,188,0.217,14,25,24-26,avg<0.23,2
Darrell Brown,Both,72,184,0.274,1,26,24-26,avg<0.33,2
Darrell Evans,Left,74,200,0.248,414,26,24-26,avg<0.26,2
Darrell Porter,Left,72,193,0.247,188,27,27-31,avg<0.26,2
Darryl Motley,Right,69,196,0.243,44,30,27-31,avg<0.26,2
Daryl Sconiers,Left,74,185,0.265,15,24,24-26,avg<0.33,2
Dave Campbell,Right,73,180,0.213,20,24,24-26,avg<0.23,2
Dave Cash,Right,71,170,0.283,21,24,24-26,avg<0.33,2
Dave Chalk,Right,70,175,0.252,15,26,24-26,avg<0.26,2
Dave Collins,Both,71,175,0.272,32,25,24-26,avg<0.33,2
Dave Concepcion,Right,74,155,0.267,101,20,20-23,avg<0.33,2
Dave Duncan,Right,74,190,0.214,109,25,24-26,avg<0.23,2
Dave Edwards,Right,72,170,0.237,14,24,24-26,avg<0.26,2
Dave Engle,Right,75,210,0.262,31,27,27-31,avg<0.33,2
Dave Hilton,Right,71,191,0.213,6,27,27-31,avg<0.23,2
Dave Hostetler,Right,76,215,0.229,37,27,27-31,avg<0.23,2
Dave Kingman,Right,78,210,0.236,442,25,24-26,avg<0.26,2
Dave Marshall,Left,73,182,0.246,16,25,24-26,avg<0.26,2
Dave May,Left,70,186,0.251,96,27,27-31,avg<0.26,2
Dave McKay,Both,73,195,0.229,21,26,24-26,avg<0.23,2
Dave McNally,Right,71,185,0.133,9,26,24-26,avg<0.23,2
Dave Nelson,Right,70,160,0.244,20,24,24-26,avg<0.26,2
Dave Nicholson,Right,74,215,0.212,61,28,27-31,avg<0.23,2
Dave Rader,Left,71,165,0.257,30,24,24-26,avg<0.26,2
Dave Revering,Left,76,210,0.265,62,26,24-26,avg<0.33,2
Dave Roberts,Right,75,215,0.239,49,28,27-31,avg<0.26,2
Dave Roberts L,Left,75,195,0.194,7,25,24-26,avg<0.23,2
Dave Rosello,Right,71,160,0.236,10,23,20-23,avg<0.26,2
Dave Skaggs,Right,74,200,0.241,3,26,24-26,avg<0.26,2
Dave Stapleton,Right,73,178,0.271,41,24,24-26,avg<0.33,2
Davey Johnson,Right,73,170,0.261,136,23,20-23,avg<0.33,2
Davey Lopes,Right,69,170,0.263,155,26,24-26,avg<0.33,2
David Green,Right,75,170,0.268,31,22,20-23,avg<0.33,2
Dean Chance,Right,75,200,0.066,0,26,24-26,avg<0.23,2
Del Unser,Left,73,180,0.258,87,24,24-26,avg<0.26,2
Denis Menke,Right,72,185,0.25,101,26,24-26,avg<0.26,2
Denny Doyle,Left,69,175,0.25,16,26,24-26,avg<0.26,2
Denny Lemaster,Right,73,182,0.13,4,25,24-26,avg<0.23,2
Denny McLain,Right,73,185,0.133,1,25,24-26,avg<0.23,2
Deron Johnson,Right,74,200,0.244,245,26,24-26,avg<0.26,2
Derrel Thomas,Both,72,160,0.249,43,22,20-23,avg<0.26,2
Dick Allen,Right,71,187,0.292,351,27,27-31,avg<0.33,2
Dick Bertell,Right,72,200,0.25,10,28,27-31,avg<0.26,2
Dick Billings,Right,73,195,0.227,16,26,24-26,avg<0.23,2
Dick Davis,Right,75,190,0.265,27,24,24-26,avg<0.33,2
Dick Dietz,Right,73,195,0.261,66,26,24-26,avg<0.33,2
Dick Green,Right,70,180,0.24,80,26,24-26,avg<0.26,2
Dick Howser,Right,68,155,0.248,16,24,24-26,avg<0.26,2
Dick McAuliffe,Left,71,176,0.247,197,25,24-26,avg<0.26,2
Dick Nen,Left,74,200,0.224,21,26,24-26,avg<0.23,2
Dick Phillips,Left,72,180,0.229,12,25,24-26,avg<0.23,2
Dick Ruthven,Right,75,190,0.183,1,24,24-26,avg<0.23,2
Dick Simpson,Right,76,176,0.207,15,22,20-23,avg<0.23,2
Dick Tracewski,Right,71,160,0.213,8,23,20-23,avg<0.23,2
Doc Edwards,Right,74,215,0.238,15,28,27-31,avg<0.26,2
Domingo Ramos,Right,70,154,0.24,8,23,20-23,avg<0.26,2
Don Baylor,Right,73,190,0.26,338,26,24-26,avg<0.33,2
Don Buford,Both,67,160,0.264,93,26,24-26,avg<0.33,2
Don Hahn,Right,73,180,0.236,7,24,24-26,avg<0.26,2
Don Kessinger,Both,73,170,0.252,14,23,20-23,avg<0.26,2
Don Leppert,Right,74,220,0.229,15,29,27-31,avg<0.23,2
Don Lock,Right,74,195,0.238,122,26,24-26,avg<0.26,2
Don Mason,Left,71,160,0.205,3,23,20-23,avg<0.23,2
Don Mincher,Left,75,205,0.249,200,26,24-26,avg<0.26,2
Don Money,Right,73,170,0.261,176,23,20-23,avg<0.33,2
Don Sutton,Right,73,185,0.144,0,25,24-26,avg<0.23,2
Don Wert,Right,70,162,0.242,77,24,24-26,avg<0.26,2
Don Wilson,Right,74,195,0.146,1,26,24-26,avg<0.23,2
Donn Clendenon,Right,76,209,0.274,159,26,24-26,avg<0.33,2
Doug Ault,Right,75,200,0.236,17,26,24-26,avg<0.26,2
Doug Camilli,Right,71,195,0.199,18,28,27-31,avg<0.23,2
Doug Clemens,Left,72,180,0.229,12,25,24-26,avg<0.23,2
Doug DeCinces,Right,74,190,0.259,237,25,24-26,avg<0.26,2
Doug Flynn,Right,71,165,0.238,7,24,24-26,avg<0.26,2
Doug Frobel,Left,76,196,0.201,20,24,24-26,avg<0.23,2
Doug Griffin,Right,72,160,0.245,7,22,20-23,avg<0.26,2
Doug Rader,Right,74,208,0.251,155,27,27-31,avg<0.26,2
Duane Josephson,Right,72,190,0.258,23,26,24-26,avg<0.26,2
Duane Kuiper,Left,72,175,0.271,1,24,24-26,avg<0.33,2
Duane Walker,Left,72,185,0.229,24,26,24-26,avg<0.23,2
Duffy Dyer,Right,72,187,0.221,30,26,24-26,avg<0.23,2
Duke Sims,Left,74,197,0.239,100,26,24-26,avg<0.26,2
Dusty Baker,Right,74,183,0.278,242,24,24-26,avg<0.33,2
Dwayne Murphy,Left,73,185,0.246,166,25,24-26,avg<0.26,2
Earl Williams,Right,75,215,0.247,138,28,27-31,avg<0.26,2
Ed Brinkman,Right,72,170,0.224,60,24,24-26,avg<0.23,2
Ed Charles,Right,70,170,0.263,86,25,24-26,avg<0.33,2
Ed Crosby,Left,74,175,0.22,0,23,20-23,avg<0.23,2
Ed Goodson,Left,75,180,0.26,30,23,20-23,avg<0.33,2
Ed Herrmann,Left,73,195,0.24,80,26,24-26,avg<0.26,2
Ed Kirkpatrick,Left,71,195,0.238,85,28,27-31,avg<0.26,2
Ed Kranepool,Left,75,205,0.261,118,26,24-26,avg<0.33,2
Ed Ott,Left,70,190,0.259,33,28,27-31,avg<0.26,2
Ed Romero,Right,71,160,0.247,8,23,20-23,avg<0.26,2
Ed Spiezio,Right,71,180,0.238,39,26,24-26,avg<0.26,2
Ed Stroud,Left,71,180,0.237,14,26,24-26,avg<0.26,2
Eddie Leon,Right,72,170,0.236,24,24,24-26,avg<0.26,2
Eddie Milner,Left,71,173,0.253,42,25,24-26,avg<0.26,2
Elio Chacon,Right,69,160,0.232,4,24,24-26,avg<0.26,2
Ellie Hendricks,Left,73,175,0.22,62,24,24-26,avg<0.23,2
Ellie Rodriguez,Right,71,185,0.245,16,26,24-26,avg<0.26,2
Elliott Maddox,Right,71,180,0.261,18,26,24-26,avg<0.33,2
Ellis Valentine,Right,76,205,0.278,123,26,24-26,avg<0.33,2
Enos Cabell,Right,76,170,0.277,60,21,20-23,avg<0.33,2
Enzo Hernandez,Right,68,155,0.224,2,24,24-26,avg<0.23,2
Eric Soderholm,Right,71,187,0.264,102,27,27-31,avg<0.33,2
Felix Millan,Right,71,172,0.279,22,25,24-26,avg<0.33,2
Felix Torres,Right,71,165,0.254,27,24,24-26,avg<0.26,2
Fergie Jenkins,Right,77,205,0.165,13,25,24-26,avg<0.23,2
Fernando Gonzalez,Right,70,165,0.235,17,24,24-26,avg<0.26,2
Floyd Rayford,Right,70,190,0.244,38,28,27-31,avg<0.26,2
Floyd Robinson,Left,69,175,0.283,67,26,24-26,avg<0.33,2
Fran Healy,Right,77,220,0.25,20,27,27-31,avg<0.26,2
Frank Duffy,Right,73,180,0.232,26,24,24-26,avg<0.26,2
Frank Fernandez,Right,72,185,0.199,39,26,24-26,avg<0.23,2
Frank Quilici,Right,73,170,0.214,5,23,20-23,avg<0.23,2
Frank Taveras,Right,72,155,0.255,2,22,20-23,avg<0.26,2
Frank Tepedino,Left,71,185,0.241,6,26,24-26,avg<0.26,2
Frank White,Right,71,165,0.255,160,24,24-26,avg<0.26,2
Fred Kendall,Right,73,185,0.234,31,25,24-26,avg<0.26,2
Fred Lynn,Left,73,185,0.283,306,25,24-26,avg<0.33,2
Fred Norman,Both,68,155,0.125,0,24,24-26,avg<0.23,2
Fred Stanley,Right,70,165,0.216,10,24,24-26,avg<0.23,2
Fred Whitfield,Left,73,190,0.253,108,26,24-26,avg<0.26,2
Freddie Patek,Right,65,148,0.242,41,25,24-26,avg<0.26,2
Fritz Peterson,Both,72,185,0.159,2,26,24-26,avg<0.23,2
Gail Hopkins,Left,70,198,0.266,25,29,27-31,avg<0.33,2
Garry Hancock,Left,72,175,0.247,12,24,24-26,avg<0.26,2
Garry Maddox,Right,75,175,0.285,117,22,20-23,avg<0.33,2
Garth Iorg,Right,71,170,0.258,20,24,24-26,avg<0.26,2
Gary Alexander,Right,74,195,0.23,55,26,24-26,avg<0.26,2
Gary Allenson,Right,71,185,0.221,19,26,24-26,avg<0.23,2
Gary Gray,Right,72,187,0.24,24,26,24-26,avg<0.26,2
Gary Matthews,Right,74,185,0.281,234,24,24-26,avg<0.33,2
Gary Nolan,Right,74,197,0.138,1,26,24-26,avg<0.23,2
Gary Roenicke,Right,75,205,0.247,121,26,24-26,avg<0.26,2
Gary Sutherland,Right,72,185,0.243,24,26,24-26,avg<0.26,2
Gary Thomasson,Left,73,180,0.249,61,24,24-26,avg<0.26,2
Gary Ward,Right,74,195,0.276,130,26,24-26,avg<0.33,2
Gary Woods,Right,74,185,0.243,13,24,24-26,avg<0.26,2
Gates Brown,Left,71,220,0.257,84,31,27-31,avg<0.26,2
Gaylord Perry,Right,76,205,0.131,6,26,24-26,avg<0.23,2
Gene Alley,Right,70,160,0.254,55,24,24-26,avg<0.26,2
Gene Clines,Right,69,170,0.277,5,26,24-26,avg<0.33,2
Gene Locklear,Left,70,165,0.274,9,24,24-26,avg<0.33,2
Gene Michael,Both,74,183,0.229,15,24,24-26,avg<0.23,2
Gene Richards,Left,72,175,0.29,26,24,24-26,avg<0.33,2
Gene Tenace,Right,72,190,0.241,201,26,24-26,avg<0.26,2
George Foster,Right,73,180,0.274,348,24,24-26,avg<0.33,2
George Hendrick,Right,75,195,0.278,267,25,24-26,avg<0.33,2
George Mitterwald,Right,74,195,0.236,76,26,24-26,avg<0.26,2
George Scott,Right,74,200,0.268,271,26,24-26,avg<0.33,2
George Smith,Right,70,170,0.205,9,25,24-26,avg<0.23,2
George Vukovich,Left,72,198,0.268,27,28,27-31,avg<0.33,2
George Wright,Both,71,180,0.245,42,26,24-26,avg<0.26,2
Gil Garrido,Right,69,150,0.237,1,23,20-23,avg<0.26,2
Glenn Adams,Left,73,180,0.28,34,24,24-26,avg<0.33,2
Glenn Beckert,Right,73,190,0.283,22,26,24-26,avg<0.33,2
Glenn Borgmann,Right,76,210,0.229,16,26,24-26,avg<0.23,2
Glenn Burke,Right,72,195,0.237,2,27,27-31,avg<0.26,2
Glenn Hoffman,Right,73,175,0.242,23,24,24-26,avg<0.26,2
Glenn Hubbard,Right,69,150,0.244,70,23,20-23,avg<0.26,2
Gorman Thomas,Right,74,210,0.225,268,28,27-31,avg<0.23,2
Graig Nettles,Left,72,180,0.248,390,25,24-26,avg<0.26,2
Greg Gross,Left,70,160,0.287,7,24,24-26,avg<0.33,2
Greg Luzinski,Right,73,220,0.276,307,30,27-31,avg<0.33,2
Greg Pryor,Right,72,180,0.25,14,25,24-26,avg<0.26,2
Greg Walker,Left,75,205,0.26,113,26,24-26,avg<0.33,2
Hal Breeden,Right,74,200,0.243,21,26,24-26,avg<0.26,2
Hal King,Left,73,200,0.214,24,27,27-31,avg<0.23,2
Hal Lanier,Right,74,180,0.228,8,24,24-26,avg<0.23,2
Hal McRae,Right,71,180,0.29,191,26,24-26,avg<0.33,2
Hank Allen,Right,72,190,0.241,6,26,24-26,avg<0.26,2
Harry Spilman,Left,73,180,0.237,18,24,24-26,avg<0.26,2
Hector Cruz,Right,71,170,0.225,39,24,24-26,avg<0.23,2
Hector Torres,Right,72,175,0.216,18,24,24-26,avg<0.23,2
Horace Clarke,Both,69,170,0.256,27,26,24-26,avg<0.26,2
Hosken Powell,Left,73,175,0.259,17,24,24-26,avg<0.26,2
Howie Goss,Right,76,204,0.216,11,25,24-26,avg<0.23,2
Ike Brown,Right,72,190,0.256,20,26,24-26,avg<0.26,2
Ivan DeJesus,Right,71,175,0.254,21,25,24-26,avg<0.26,2
Ivan Murrell,Right,74,195,0.236,33,26,24-26,avg<0.26,2
J.R. Richard,Right,80,222,0.168,10,25,24-26,avg<0.23,2
Jack Billingham,Right,76,195,0.111,0,24,24-26,avg<0.23,2
Jack Brohamer,Left,70,165,0.245,30,24,24-26,avg<0.26,2
Jack Heidemann,Right,72,175,0.211,9,24,24-26,avg<0.23,2
Jack Hiatt,Right,74,190,0.251,22,25,24-26,avg<0.26,2
Jack Perconte,Left,70,160,0.27,2,24,24-26,avg<0.33,2
Jackie Gutierrez,Right,71,175,0.237,4,25,24-26,avg<0.26,2
Jackie Hernandez,Right,71,165,0.208,12,24,24-26,avg<0.23,2
Jake Gibbs,Left,72,180,0.233,25,25,24-26,avg<0.26,2
Jake Wood,Right,73,163,0.25,35,22,20-23,avg<0.26,2
