name,handedness,height,weight,avg,HR,BMI,BMI-C,avg-C,size
Bill Voss,L,74,160,0.227,19,21,20-23,avg<0.23,2
Billy Bryan,L,76,200,0.216,41,25,24-26,avg<0.23,2
Billy Conigliaro,R,72,180,0.256,40,25,24-26,avg<0.26,2
Billy Cowan,R,72,170,0.236,40,24,24-26,avg<0.26,2
Billy Grabarkewitz,R,70,165,0.236,28,24,24-26,avg<0.26,2
Billy North,B,71,185,0.261,20,26,24-26,avg<0.33,2
Billy Smith,B,74,185,0.23,17,24,24-26,avg<0.26,2
Bo Diaz,R,71,185,0.255,87,26,24-26,avg<0.26,2
Bob Bailey,R,73,180,0.257,189,24,24-26,avg<0.26,2
Bob Bailor,R,71,170,0.264,9,24,24-26,avg<0.33,2
Bob Barton,R,72,175,0.226,9,24,24-26,avg<0.23,2
Bob Boone,R,74,195,0.254,105,26,24-26,avg<0.26,2
Bob Brenly,R,74,210,0.247,91,28,27-31,avg<0.26,2
Bob Brower,R,71,185,0.242,17,26,24-26,avg<0.26,2
Bob Burda,L,71,174,0.224,13,25,24-26,avg<0.23,2
Bob Chance,L,74,196,0.261,24,26,24-26,avg<0.33,2
Bob Coluccio,R,71,183,0.22,26,26,24-26,avg<0.23,2
Bob Davis,R,72,180,0.197,6,25,24-26,avg<0.23,2
Bob Dernier,R,72,160,0.255,23,22,20-23,avg<0.26,2
Bob Didier,B,72,190,0.229,0,26,24-26,avg<0.23,2
Bob Forsch,R,76,200,0.213,12,25,24-26,avg<0.23,2
Bob Heise,R,72,175,0.247,1,24,24-26,avg<0.26,2
Bob Horner,R,73,195,0.277,218,26,24-26,avg<0.33,2
Bob Johnson,R,70,175,0.272,44,26,24-26,avg<0.33,2
Bob Jones,L,74,195,0.221,20,26,24-26,avg<0.23,2
Bob Kearney,R,72,190,0.233,27,26,24-26,avg<0.26,2
Bob Knepper,L,75,195,0.137,6,25,24-26,avg<0.23,2
Bob Meacham,B,73,175,0.236,8,24,24-26,avg<0.26,2
Bob Molinaro,L,72,190,0.264,14,26,24-26,avg<0.33,2
Bob Montgomery,R,73,195,0.258,23,26,24-26,avg<0.26,2
Bob Oliver,R,75,205,0.256,94,26,24-26,avg<0.26,2
Bob Randall,R,74,175,0.257,1,23,20-23,avg<0.26,2
Bob Robertson,R,73,195,0.242,115,26,24-26,avg<0.26,2
Bob Stinson,B,71,180,0.25,33,26,24-26,avg<0.26,2
Bob Tillman,R,76,205,0.232,79,26,24-26,avg<0.26,2
Bob Uecker,R,73,190,0.2,14,26,24-26,avg<0.23,2
Bob Veale,B,78,212,0.114,0,25,24-26,avg<0.23,2
Bob Watson,R,72,201,0.295,184,28,27-31,avg<0.33,2
Bobby Bonds,R,73,190,0.268,332,26,24-26,avg<0.33,2
Bobby Brown,B,74,190,0.245,26,25,24-26,avg<0.26,2
Bobby Clark,R,72,190,0.239,19,26,24-26,avg<0.26,2
Bobby Cox,R,71,180,0.225,9,26,24-26,avg<0.23,2
Bobby Darwin,R,74,190,0.251,83,25,24-26,avg<0.26,2
Bobby Grich,R,74,180,0.266,224,24,24-26,avg<0.33,2
Bobby Klaus,R,70,170,0.208,6,25,24-26,avg<0.23,2
Bobby Knoop,R,73,170,0.236,56,23,20-23,avg<0.26,2
Bobby Mitchell L,L,70,170,0.243,3,25,24-26,avg<0.26,2
Bobby Mitchell,R,75,185,0.235,21,24,24-26,avg<0.26,2
Bobby Murcer,L,71,160,0.277,252,23,20-23,avg<0.33,2
Bobby Tolan,L,71,170,0.265,86,24,24-26,avg<0.33,2
Bobby Valentine,R,70,189,0.26,12,28,27-31,avg<0.33,2
Bobby Wine,R,73,187,0.215,30,25,24-26,avg<0.23,2
Bombo Rivera,R,70,187,0.265,10,27,27-31,avg<0.33,2
Boog Powell,L,76,230,0.266,339,29,27-31,avg<0.33,2
Boots Day,L,69,160,0.256,8,24,24-26,avg<0.26,2
Brad Wellman,R,72,170,0.231,6,24,24-26,avg<0.26,2
Brant Alyea,R,75,215,0.247,38,28,27-31,avg<0.26,2
Brian Asselstine,L,73,175,0.254,12,24,24-26,avg<0.26,2
Brian Giles,R,73,165,0.228,10,22,20-23,avg<0.23,2
Brock Davis,L,70,160,0.26,1,24,24-26,avg<0.33,2
Broderick Perkins,L,70,180,0.271,8,26,24-26,avg<0.33,2
Bruce Benedict,R,73,175,0.242,18,24,24-26,avg<0.26,2
Bruce Bochte,L,75,195,0.282,100,25,24-26,avg<0.33,2
Bruce Bochy,R,75,205,0.239,26,26,24-26,avg<0.26,2
Bruce Boisclair,L,74,185,0.263,10,24,24-26,avg<0.33,2
Bruce Miller,R,73,185,0.246,1,25,24-26,avg<0.26,2
Bryan Little,B,70,160,0.245,3,24,24-26,avg<0.26,2
Bubba Morton,R,70,175,0.267,14,26,24-26,avg<0.33,2
Buck Martinez,R,70,190,0.225,58,28,27-31,avg<0.23,2
Buck Rodgers,B,74,190,0.232,31,25,24-26,avg<0.26,2
Bucky Dent,R,69,170,0.247,40,26,24-26,avg<0.26,2
Bud Harrelson,B,71,160,0.236,7,23,20-23,avg<0.26,2
Buddy Bell,R,73,180,0.279,201,24,24-26,avg<0.33,2
Buddy Biancalana,B,71,160,0.205,6,23,20-23,avg<0.23,2
Buddy Bradford,R,71,170,0.226,52,24,24-26,avg<0.23,2
Bump Wills,B,69,172,0.266,36,26,24-26,avg<0.33,2
Burt Hooton,R,73,210,0.123,4,28,27-31,avg<0.23,2
Butch Hobson,R,73,193,0.248,98,26,24-26,avg<0.26,2
Butch Wynegar,B,73,190,0.255,65,26,24-26,avg<0.26,2
Byron Browne,R,74,190,0.236,30,25,24-26,avg<0.26,2
Cap Peterson,R,74,195,0.23,19,26,24-26,avg<0.26,2
Carl Morton,R,72,200,0.156,7,28,27-31,avg<0.23,2
Carl Taylor,R,74,200,0.266,10,26,24-26,avg<0.33,2
Carl Warwick,R,70,170,0.248,31,25,24-26,avg<0.26,2
Carl Yastrzemski,L,71,175,0.285,452,25,24-26,avg<0.33,2
Carlos May,L,71,200,0.274,90,29,27-31,avg<0.33,2
Carmen Fanzone,R,72,200,0.224,20,28,27-31,avg<0.23,2
Catfish Hunter,R,72,190,0.226,6,26,24-26,avg<0.23,2
Cecil Cooper,L,74,165,0.298,241,22,20-23,avg<0.33,2
Cesar Cedeno,R,74,175,0.285,199,23,20-23,avg<0.33,2
Cesar Geronimo,L,72,165,0.258,51,23,20-23,avg<0.26,2
Cesar Gutierrez,R,69,155,0.235,0,23,20-23,avg<0.26,2
Cesar Tovar,R,69,155,0.278,46,23,20-23,avg<0.33,2
Champ Summers,L,74,205,0.255,54,27,27-31,avg<0.26,2
Charley Smith,R,73,170,0.239,69,23,20-23,avg<0.26,2
Charlie James,R,73,195,0.255,29,26,24-26,avg<0.26,2
Charlie Moore,R,71,180,0.261,36,26,24-26,avg<0.33,2
Charlie Spikes,R,75,215,0.246,65,28,27-31,avg<0.26,2
Chet Lemon,R,72,190,0.273,215,26,24-26,avg<0.33,2
Chico Ruiz,B,72,169,0.24,2,23,20-23,avg<0.26,2
Chico Salmon,R,70,160,0.249,31,24,24-26,avg<0.26,2
Chris Bando,B,72,195,0.227,27,27,27-31,avg<0.23,2
Chris Brown,R,72,185,0.269,38,26,24-26,avg<0.33,2
Chris Cannizzaro,R,72,190,0.235,18,26,24-26,avg<0.26,2
Chris Chambliss,L,73,195,0.279,185,26,24-26,avg<0.33,2
Chris Speier,R,73,175,0.246,112,24,24-26,avg<0.26,2
Chuck Harrison,R,70,185,0.238,17,27,27-31,avg<0.26,2
Chuck Hiller,L,71,170,0.243,20,24,24-26,avg<0.26,2
Chuck Hinton,R,73,180,0.264,113,24,24-26,avg<0.33,2
Chuck Schilling,R,70,160,0.239,23,24,24-26,avg<0.26,2
Cito Gaston,R,75,190,0.256,91,24,24-26,avg<0.26,2
Claudell Washington,L,72,190,0.278,164,26,24-26,avg<0.33,2
Clay Dalrymple,L,72,190,0.233,55,26,24-26,avg<0.26,2
Cleon Jones,R,72,185,0.281,93,26,24-26,avg<0.33,2
Cliff Johnson,R,76,215,0.258,196,27,27-31,avg<0.26,2
Clint Hurdle,L,75,195,0.259,32,25,24-26,avg<0.26,2
Coco Laboy,R,70,165,0.233,28,24,24-26,avg<0.26,2
Cookie Rojas,R,70,160,0.263,54,24,24-26,avg<0.33,2
Craig Kusick,R,75,210,0.235,46,27,27-31,avg<0.26,2
Craig Reynolds,L,73,175,0.256,42,24,24-26,avg<0.26,2
Craig Robinson,R,70,165,0.219,0,24,24-26,avg<0.23,2
Curt Blefary,L,74,195,0.237,112,26,24-26,avg<0.26,2
Curt Ford,L,70,150,0.245,7,22,20-23,avg<0.26,2
Curt Motton,R,68,164,0.213,25,26,24-26,avg<0.23,2
Dal Maxvill,R,71,157,0.217,6,22,20-23,avg<0.23,2
Dale Berra,R,72,180,0.236,49,25,24-26,avg<0.26,2
Dalton Jones,L,73,180,0.235,41,24,24-26,avg<0.26,2
Damaso Garcia,R,73,165,0.283,36,22,20-23,avg<0.33,2
Dan Briggs,L,72,180,0.195,12,25,24-26,avg<0.23,2
Dan Driessen,L,71,187,0.267,153,27,27-31,avg<0.33,2
Dan Ford,R,73,185,0.27,121,25,24-26,avg<0.33,2
Dan Meyer,L,71,180,0.253,86,26,24-26,avg<0.26,2
Dane Iorg,L,72,180,0.276,14,25,24-26,avg<0.33,2
Danny Ainge,R,76,175,0.22,2,22,20-23,avg<0.23,2
Danny Cater,R,72,170,0.276,66,24,24-26,avg<0.33,2
Danny Goodwin,L,73,195,0.236,13,26,24-26,avg<0.26,2
Danny Thompson,R,72,183,0.248,15,25,24-26,avg<0.26,2
Danny Walton,R,72,195,0.223,28,27,27-31,avg<0.23,2
Darrel Chaney,B,74,188,0.217,14,25,24-26,avg<0.23,2
Darrell Brown,B,72,184,0.274,1,26,24-26,avg<0.33,2
Darrell Evans,L,74,200,0.248,414,26,24-26,avg<0.26,2
Darrell Porter,L,72,193,0.247,188,27,27-31,avg<0.26,2
Darryl Motley,R,69,196,0.243,44,30,27-31,avg<0.26,2
Daryl Sconiers,L,74,185,0.265,15,24,24-26,avg<0.33,2
Dave Campbell,R,73,180,0.213,20,24,24-26,avg<0.23,2
Dave Cash,R,71,170,0.283,21,24,24-26,avg<0.33,2
Dave Chalk,R,70,175,0.252,15,26,24-26,avg<0.26,2
Dave Collins,B,71,175,0.272,32,25,24-26,avg<0.33,2
Dave Concepcion,R,74,155,0.267,101,20,20-23,avg<0.33,2
Dave Duncan,R,74,190,0.214,109,25,24-26,avg<0.23,2
Dave Edwards,R,72,170,0.237,14,24,24-26,avg<0.26,2
Dave Engle,R,75,210,0.262,31,27,27-31,avg<0.33,2
Dave Hilton,R,71,191,0.213,6,27,27-31,avg<0.23,2
Dave Hostetler,R,76,215,0.229,37,27,27-31,avg<0.23,2
Dave Kingman,R,78,210,0.236,442,25,24-26,avg<0.26,2
Dave Marshall,L,73,182,0.246,16,25,24-26,avg<0.26,2
Dave May,L,70,186,0.251,96,27,27-31,avg<0.26,2
Dave McKay,B,73,195,0.229,21,26,24-26,avg<0.23,2
Dave McNally,R,71,185,0.133,9,26,24-26,avg<0.23,2
Dave Nelson,R,70,160,0.244,20,24,24-26,avg<0.26,2
Dave Nicholson,R,74,215,0.212,61,28,27-31,avg<0.23,2
Dave Rader,L,71,165,0.257,30,24,24-26,avg<0.26,2
Dave Revering,L,76,210,0.265,62,26,24-26,avg<0.33,2
Dave Roberts,R,75,215,0.239,49,28,27-31,avg<0.26,2
Dave Roberts L,L,75,195,0.194,7,25,24-26,avg<0.23,2
Dave Rosello,R,71,160,0.236,10,23,20-23,avg<0.26,2
Dave Skaggs,R,74,200,0.241,3,26,24-26,avg<0.26,2
Dave Stapleton,R,73,178,0.271,41,24,24-26,avg<0.33,2
Davey Johnson,R,73,170,0.261,136,23,20-23,avg<0.33,2
Davey Lopes,R,69,170,0.263,155,26,24-26,avg<0.33,2
David Green,R,75,170,0.268,31,22,20-23,avg<0.33,2
Dean Chance,R,75,200,0.066,0,26,24-26,avg<0.23,2
Del Unser,L,73,180,0.258,87,24,24-26,avg<0.26,2
Denis Menke,R,72,185,0.25,101,26,24-26,avg<0.26,2
Denny Doyle,L,69,175,0.25,16,26,24-26,avg<0.26,2
Denny Lemaster,R,73,182,0.13,4,25,24-26,avg<0.23,2
Denny McLain,R,73,185,0.133,1,25,24-26,avg<0.23,2
Deron Johnson,R,74,200,0.244,245,26,24-26,avg<0.26,2
Derrel Thomas,B,72,160,0.249,43,22,20-23,avg<0.26,2
Dick Allen,R,71,187,0.292,351,27,27-31,avg<0.33,2
Dick Bertell,R,72,200,0.25,10,28,27-31,avg<0.26,2
Dick Billings,R,73,195,0.227,16,26,24-26,avg<0.23,2
Dick Davis,R,75,190,0.265,27,24,24-26,avg<0.33,2
Dick Dietz,R,73,195,0.261,66,26,24-26,avg<0.33,2
Dick Green,R,70,180,0.24,80,26,24-26,avg<0.26,2
Dick Howser,R,68,155,0.248,16,24,24-26,avg<0.26,2
Dick McAuliffe,L,71,176,0.247,197,25,24-26,avg<0.26,2
Dick Nen,L,74,200,0.224,21,26,24-26,avg<0.23,2
Dick Phillips,L,72,180,0.229,12,25,24-26,avg<0.23,2
Dick Ruthven,R,75,190,0.183,1,24,24-26,avg<0.23,2
Dick Simpson,R,76,176,0.207,15,22,20-23,avg<0.23,2
Dick Tracewski,R,71,160,0.213,8,23,20-23,avg<0.23,2
Doc Edwards,R,74,215,0.238,15,28,27-31,avg<0.26,2
Domingo Ramos,R,70,154,0.24,8,23,20-23,avg<0.26,2
Don Baylor,R,73,190,0.26,338,26,24-26,avg<0.33,2
Don Buford,B,67,160,0.264,93,26,24-26,avg<0.33,2
Don Hahn,R,73,180,0.236,7,24,24-26,avg<0.26,2
Don Kessinger,B,73,170,0.252,14,23,20-23,avg<0.26,2
Don Leppert,R,74,220,0.229,15,29,27-31,avg<0.23,2
Don Lock,R,74,195,0.238,122,26,24-26,avg<0.26,2
Don Mason,L,71,160,0.205,3,23,20-23,avg<0.23,2
Don Mincher,L,75,205,0.249,200,26,24-26,avg<0.26,2
Don Money,R,73,170,0.261,176,23,20-23,avg<0.33,2
Don Sutton,R,73,185,0.144,0,25,24-26,avg<0.23,2
Don Wert,R,70,162,0.242,77,24,24-26,avg<0.26,2
Don Wilson,R,74,195,0.146,1,26,24-26,avg<0.23,2
Donn Clendenon,R,76,209,0.274,159,26,24-26,avg<0.33,2
Doug Ault,R,75,200,0.236,17,26,24-26,avg<0.26,2
Doug Camilli,R,71,195,0.199,18,28,27-31,avg<0.23,2
Doug Clemens,L,72,180,0.229,12,25,24-26,avg<0.23,2
Doug DeCinces,R,74,190,0.259,237,25,24-26,avg<0.26,2
Doug Flynn,R,71,165,0.238,7,24,24-26,avg<0.26,2
Doug Frobel,L,76,196,0.201,20,24,24-26,avg<0.23,2
Doug Griffin,R,72,160,0.245,7,22,20-23,avg<0.26,2
Doug Rader,R,74,208,0.251,155,27,27-31,avg<0.26,2
Duane Josephson,R,72,190,0.258,23,26,24-26,avg<0.26,2
Duane Kuiper,L,72,175,0.271,1,24,24-26,avg<0.33,2
Duane Walker,L,72,185,0.229,24,26,24-26,avg<0.23,2
Duffy Dyer,R,72,187,0.221,30,26,24-26,avg<0.23,2
Duke Sims,L,74,197,0.239,100,26,24-26,avg<0.26,2
Dusty Baker,R,74,183,0.278,242,24,24-26,avg<0.33,2
Dwayne Murphy,L,73,185,0.246,166,25,24-26,avg<0.26,2
Earl Williams,R,75,215,0.247,138,28,27-31,avg<0.26,2
Ed Brinkman,R,72,170,0.224,60,24,24-26,avg<0.23,2
Ed Charles,R,70,170,0.263,86,25,24-26,avg<0.33,2
Ed Crosby,L,74,175,0.22,0,23,20-23,avg<0.23,2
Ed Goodson,L,75,180,0.26,30,23,20-23,avg<0.33,2
Ed Herrmann,L,73,195,0.24,80,26,24-26,avg<0.26,2
Ed Kirkpatrick,L,71,195,0.238,85,28,27-31,avg<0.26,2
Ed Kranepool,L,75,205,0.261,118,26,24-26,avg<0.33,2
Ed Ott,L,70,190,0.259,33,28,27-31,avg<0.26,2
Ed Romero,R,71,160,0.247,8,23,20-23,avg<0.26,2
Ed Spiezio,R,71,180,0.238,39,26,24-26,avg<0.26,2
Ed Stroud,L,71,180,0.237,14,26,24-26,avg<0.26,2
Eddie Leon,R,72,170,0.236,24,24,24-26,avg<0.26,2
Eddie Milner,L,71,173,0.253,42,25,24-26,avg<0.26,2
Elio Chacon,R,69,160,0.232,4,24,24-26,avg<0.26,2
Ellie Hendricks,L,73,175,0.22,62,24,24-26,avg<0.23,2
Ellie Rodriguez,R,71,185,0.245,16,26,24-26,avg<0.26,2
Elliott Maddox,R,71,180,0.261,18,26,24-26,avg<0.33,2
Ellis Valentine,R,76,205,0.278,123,26,24-26,avg<0.33,2
Enos Cabell,R,76,170,0.277,60,21,20-23,avg<0.33,2
Enzo Hernandez,R,68,155,0.224,2,24,24-26,avg<0.23,2
Eric Soderholm,R,71,187,0.264,102,27,27-31,avg<0.33,2
Felix Millan,R,71,172,0.279,22,25,24-26,avg<0.33,2
Felix Torres,R,71,165,0.254,27,24,24-26,avg<0.26,2
Fergie Jenkins,R,77,205,0.165,13,25,24-26,avg<0.23,2
Fernando Gonzalez,R,70,165,0.235,17,24,24-26,avg<0.26,2
Floyd Rayford,R,70,190,0.244,38,28,27-31,avg<0.26,2
Floyd Robinson,L,69,175,0.283,67,26,24-26,avg<0.33,2
Fran Healy,R,77,220,0.25,20,27,27-31,avg<0.26,2
Frank Duffy,R,73,180,0.232,26,24,24-26,avg<0.26,2
Frank Fernandez,R,72,185,0.199,39,26,24-26,avg<0.23,2
Frank Quilici,R,73,170,0.214,5,23,20-23,avg<0.23,2
Frank Taveras,R,72,155,0.255,2,22,20-23,avg<0.26,2
Frank Tepedino,L,71,185,0.241,6,26,24-26,avg<0.26,2
Frank White,R,71,165,0.255,160,24,24-26,avg<0.26,2
Fred Kendall,R,73,185,0.234,31,25,24-26,avg<0.26,2
Fred Lynn,L,73,185,0.283,306,25,24-26,avg<0.33,2
Fred Norman,B,68,155,0.125,0,24,24-26,avg<0.23,2
Fred Stanley,R,70,165,0.216,10,24,24-26,avg<0.23,2
Fred Whitfield,L,73,190,0.253,108,26,24-26,avg<0.26,2
Freddie Patek,R,65,148,0.242,41,25,24-26,avg<0.26,2
Fritz Peterson,B,72,185,0.159,2,26,24-26,avg<0.23,2
Gail Hopkins,L,70,198,0.266,25,29,27-31,avg<0.33,2
Garry Hancock,L,72,175,0.247,12,24,24-26,avg<0.26,2
Garry Maddox,R,75,175,0.285,117,22,20-23,avg<0.33,2
Garth Iorg,R,71,170,0.258,20,24,24-26,avg<0.26,2
Gary Alexander,R,74,195,0.23,55,26,24-26,avg<0.26,2
Gary Allenson,R,71,185,0.221,19,26,24-26,avg<0.23,2
Gary Gray,R,72,187,0.24,24,26,24-26,avg<0.26,2
Gary Matthews,R,74,185,0.281,234,24,24-26,avg<0.33,2
Gary Nolan,R,74,197,0.138,1,26,24-26,avg<0.23,2
Gary Roenicke,R,75,205,0.247,121,26,24-26,avg<0.26,2
Gary Sutherland,R,72,185,0.243,24,26,24-26,avg<0.26,2
Gary Thomasson,L,73,180,0.249,61,24,24-26,avg<0.26,2
Gary Ward,R,74,195,0.276,130,26,24-26,avg<0.33,2
Gary Woods,R,74,185,0.243,13,24,24-26,avg<0.26,2
Gates Brown,L,71,220,0.257,84,31,27-31,avg<0.26,2
Gaylord Perry,R,76,205,0.131,6,26,24-26,avg<0.23,2
Gene Alley,R,70,160,0.254,55,24,24-26,avg<0.26,2
Gene Clines,R,69,170,0.277,5,26,24-26,avg<0.33,2
Gene Locklear,L,70,165,0.274,9,24,24-26,avg<0.33,2
Gene Michael,B,74,183,0.229,15,24,24-26,avg<0.23,2
Gene Richards,L,72,175,0.29,26,24,24-26,avg<0.33,2
Gene Tenace,R,72,190,0.241,201,26,24-26,avg<0.26,2
George Foster,R,73,180,0.274,348,24,24-26,avg<0.33,2
George Hendrick,R,75,195,0.278,267,25,24-26,avg<0.33,2
George Mitterwald,R,74,195,0.236,76,26,24-26,avg<0.26,2
George Scott,R,74,200,0.268,271,26,24-26,avg<0.33,2
George Smith,R,70,170,0.205,9,25,24-26,avg<0.23,2
George Vukovich,L,72,198,0.268,27,28,27-31,avg<0.33,2
George Wright,B,71,180,0.245,42,26,24-26,avg<0.26,2
Gil Garrido,R,69,150,0.237,1,23,20-23,avg<0.26,2
Glenn Adams,L,73,180,0.28,34,24,24-26,avg<0.33,2
Glenn Beckert,R,73,190,0.283,22,26,24-26,avg<0.33,2
Glenn Borgmann,R,76,210,0.229,16,26,24-26,avg<0.23,2
Glenn Burke,R,72,195,0.237,2,27,27-31,avg<0.26,2
Glenn Hoffman,R,73,175,0.242,23,24,24-26,avg<0.26,2
Glenn Hubbard,R,69,150,0.244,70,23,20-23,avg<0.26,2
Gorman Thomas,R,74,210,0.225,268,28,27-31,avg<0.23,2
Graig Nettles,L,72,180,0.248,390,25,24-26,avg<0.26,2
Greg Gross,L,70,160,0.287,7,24,24-26,avg<0.33,2
Greg Luzinski,R,73,220,0.276,307,30,27-31,avg<0.33,2
Greg Pryor,R,72,180,0.25,14,25,24-26,avg<0.26,2
Greg Walker,L,75,205,0.26,113,26,24-26,avg<0.33,2
Hal Breeden,R,74,200,0.243,21,26,24-26,avg<0.26,2
Hal King,L,73,200,0.214,24,27,27-31,avg<0.23,2
Hal Lanier,R,74,180,0.228,8,24,24-26,avg<0.23,2
Hal McRae,R,71,180,0.29,191,26,24-26,avg<0.33,2
Hank Allen,R,72,190,0.241,6,26,24-26,avg<0.26,2
Harry Spilman,L,73,180,0.237,18,24,24-26,avg<0.26,2
Hector Cruz,R,71,170,0.225,39,24,24-26,avg<0.23,2
Hector Torres,R,72,175,0.216,18,24,24-26,avg<0.23,2
Horace Clarke,B,69,170,0.256,27,26,24-26,avg<0.26,2
Hosken Powell,L,73,175,0.259,17,24,24-26,avg<0.26,2
Howie Goss,R,76,204,0.216,11,25,24-26,avg<0.23,2
Ike Brown,R,72,190,0.256,20,26,24-26,avg<0.26,2
Ivan DeJesus,R,71,175,0.254,21,25,24-26,avg<0.26,2
Ivan Murrell,R,74,195,0.236,33,26,24-26,avg<0.26,2
J.R. Richard,R,80,222,0.168,10,25,24-26,avg<0.23,2
Jack Billingham,R,76,195,0.111,0,24,24-26,avg<0.23,2
Jack Brohamer,L,70,165,0.245,30,24,24-26,avg<0.26,2
Jack Heidemann,R,72,175,0.211,9,24,24-26,avg<0.23,2
Jack Hiatt,R,74,190,0.251,22,25,24-26,avg<0.26,2
Jack Perconte,L,70,160,0.27,2,24,24-26,avg<0.33,2
Jackie Gutierrez,R,71,175,0.237,4,25,24-26,avg<0.26,2
Jackie Hernandez,R,71,165,0.208,12,24,24-26,avg<0.23,2
Jake Gibbs,L,72,180,0.233,25,25,24-26,avg<0.26,2
Jake Wood,R,73,163,0.25,35,22,20-23,avg<0.26,2
Jason Thompson,L,76,200,0.261,208,25,24-26,avg<0.33,2
Jay Johnstone,L,73,175,0.267,102,24,24-26,avg<0.33,2
Jeff Burroughs,R,73,200,0.261,240,27,27-31,avg<0.33,2
Jeff Newman,R,74,215,0.224,63,28,27-31,avg<0.23,2
Jeff Stone,L,72,175,0.277,11,24,24-26,avg<0.33,2
Jeff Torborg,R,72,195,0.214,8,27,27-31,avg<0.23,2
Jeffrey Leonard,R,74,200,0.266,144,26,24-26,avg<0.33,2
Jerry Buchek,R,71,185,0.22,22,26,24-26,avg<0.23,2
Jerry Dybzinski,R,74,180,0.234,3,24,24-26,avg<0.26,2
Jerry Grote,R,70,185,0.252,39,27,27-31,avg<0.26,2
Jerry Hairston,B,70,170,0.258,30,25,24-26,avg<0.26,2
